mass_A
t,x,y,v_{x},v_{y}
8.725000000E0,-5.082045631E-2,9.828342192E-3,3.591753897E-1,-2.548986637E-1
8.733333333E0,-4.792388059E-2,7.511081614E-3,3.591753897E-1,-2.548986637E-1
8.741666667E0,-4.483419981E-2,5.580031131E-3,3.823479955E-1,-2.085534521E-1
8.750000000E0,-4.155141399E-2,4.035190745E-3,3.939342984E-1,-1.853808463E-1
8.758333333E0,-3.826862817E-2,2.490350359E-3,5.793151447E-1,-2.085534521E-1
8.766666667E0,-3.189616158E-2,5.592998769E-4,5.445562360E-1,-1.158630289E-1
8.775000000E0,-2.919269091E-2,5.592998769E-4,5.097973274E-1,-2.317260579E-2
8.783333333E0,-2.339953946E-2,1.730897805E-4,3.047197661E0,3.475890868E-2
8.791666667E0,2.159393678E-2,1.138615022E-3,3.024025055E0,8.110412026E-2
8.800000000E0,2.700087813E-2,1.524825118E-3,6.024877505E-1,5.793151447E-2
8.808333333E0,3.163539929E-2,2.104140263E-3,5.561425389E-1,1.274493318E-1
8.816666667E0,3.626992045E-2,3.648980649E-3,4.518658129E-1,1.390356347E-1
8.825000000E0,3.916649617E-2,4.421400842E-3,3.244164810E-1,9.269042316E-2
8.833333333E0,4.167686180E-2,5.193821035E-3,3.244164810E-1,1.042767260E-1
8.841666667E0,4.457343752E-2,6.159346276E-3,3.707616926E-1,1.737945434E-1
8.850000000E0,4.785622334E-2,8.090396758E-3,3.707616926E-1,2.085534521E-1
8.858333333E0,5.075279907E-2,9.635237144E-3,2.896575724E-1,1.969671492E-1
8.866666667E0,5.268384955E-2,1.137318258E-2,2.201397550E-1,2.201397550E-1
8.875000000E0,5.442179498E-2,1.330423306E-2,2.201397550E-1,2.085534521E-1
8.883333333E0,5.635284546E-2,1.484907345E-2,1.737945434E-1,1.737945434E-1
8.891666667E0,5.731837071E-2,1.620080878E-2,1.158630289E-1,1.158630289E-1
8.900000000E0,5.828389595E-2,1.678012393E-2,1.042767260E-1,8.110412026E-2
8.908333333E0,5.905631614E-2,1.755254412E-2,5.793151447E-2,5.793151447E-2
8.916666667E0,5.924942119E-2,1.774564917E-2,0.000000000E0,-0.000000000E0
8.925000000E0,5.905631614E-2,1.755254412E-2,-3.475890868E-2,-3.475890868E-2
8.933333333E0,5.867010604E-2,1.716633403E-2,-3.475890868E-2,-5.793151447E-2
8.941666667E0,5.847700100E-2,1.658701888E-2,-5.793151447E-2,-8.110412026E-2
8.950000000E0,5.770458080E-2,1.581459869E-2,-1.042767260E-1,-1.158630289E-1
8.958333333E0,5.673905556E-2,1.465596840E-2,-1.506219376E-1,-1.853808463E-1
8.966666667E0,5.519421518E-2,1.272491792E-2,-2.201397550E-1,-2.201397550E-1
8.975000000E0,5.307005964E-2,1.098697248E-2,-2.664849666E-1,-2.201397550E-1
8.983333333E0,5.075279907E-2,9.055922000E-3,-3.360027839E-1,-2.317260579E-1
8.991666667E0,4.747001325E-2,7.124871517E-3,-4.171069042E-1,-1.969671492E-1
9.000000000E0,4.380101733E-2,5.773136179E-3,-4.286932071E-1,-1.853808463E-1
9.008333333E0,4.032512646E-2,4.035190745E-3,-3.707616926E-1,-1.506219376E-1
9.016666667E0,3.762165579E-2,3.262770552E-3,-3.707616926E-1,-1.042767260E-1
9.025000000E0,3.414576492E-2,2.297245311E-3,-5.561425389E-1,-1.158630289E-1
9.033333333E0,2.835261347E-2,1.331720070E-3,-5.677288418E-1,-6.951781737E-2
9.041666667E0,2.468361755E-2,1.138615022E-3,-4.634521158E-1,-5.793151447E-2
9.050000000E0,2.062841154E-2,3.661948287E-4,-3.070370267E0,-2.317260579E-2
9.058333333E0,-2.648922023E-2,7.524049252E-4,-3.093542873E0,2.317260579E-2
9.066666667E0,-3.093063634E-2,7.524049252E-4,-4.055206013E-1,-1.158630289E-2
9.075000000E0,-3.324789692E-2,5.592998769E-4,-3.244164810E-1,4.634521158E-2
9.083333333E0,-3.633757769E-2,1.524825118E-3,-4.055206013E-1,1.853808463E-1
9.091666667E0,-4.000657361E-2,3.648980649E-3,-4.055206013E-1,1.969671492E-1
9.100000000E0,-4.309625438E-2,4.807610938E-3,-3.591753897E-1,1.622082405E-1
9.108333333E0,-4.599283010E-2,6.352451324E-3,-3.244164810E-1,1.853808463E-1
9.116666667E0,-4.850319573E-2,7.897291710E-3,-2.896575724E-1,1.853808463E-1
9.125000000E0,-5.082045631E-2,9.442132096E-3,-2.548986637E-1,1.737945434E-1
9.133333333E0,-5.275150679E-2,1.079386743E-2,-1.969671492E-1,1.622082405E-1
9.141666667E0,-5.410324213E-2,1.214560277E-2,-1.622082405E-1,1.622082405E-1
9.150000000E0,-5.545497747E-2,1.349733811E-2,-1.737945434E-1,1.506219376E-1
9.158333333E0,-5.699981785E-2,1.465596840E-2,-1.158630289E-1,1.158630289E-1
9.166666667E0,-5.738602795E-2,1.542838859E-2,-3.475890868E-2,5.793151447E-2
9.175000000E0,-5.757913300E-2,1.562149364E-2,-1.158630289E-2,1.158630289E-2
9.183333333E0,-5.757913300E-2,1.562149364E-2,2.317260579E-2,-2.317260579E-2
9.191666667E0,-5.719292290E-2,1.523528354E-2,9.269042316E-2,-5.793151447E-2
9.200000000E0,-5.603429261E-2,1.465596840E-2,9.269042316E-2,-6.951781737E-2
9.208333333E0,-5.564808251E-2,1.407665325E-2,9.269042316E-2,-1.042767260E-1
9.216666667E0,-5.448945223E-2,1.291802296E-2,1.506219376E-1,-1.506219376E-1
9.225000000E0,-5.313771689E-2,1.156628763E-2,1.737945434E-1,-1.506219376E-1
9.233333333E0,-5.159287650E-2,1.040765734E-2,2.664849666E-1,-1.969671492E-1
9.241666667E0,-4.869630078E-2,8.283501807E-3,3.128301781E-1,-2.317260579E-1
9.250000000E0,-4.637904020E-2,6.545556372E-3,3.012438753E-1,-1.969671492E-1
9.258333333E0,-4.367556952E-2,5.000715986E-3,3.823479955E-1,-2.085534521E-1
9.266666667E0,-4.000657361E-2,3.069665504E-3,4.286932071E-1,-1.853808463E-1
9.275000000E0,-3.653068274E-2,1.911035215E-3,4.286932071E-1,-1.158630289E-1
9.283333333E0,-3.286168682E-2,1.138615022E-3,4.866247216E-1,-8.110412026E-2
9.291666667E0,-2.842027071E-2,5.592998769E-4,4.634521158E-1,-5.793151447E-2
9.300000000E0,-2.513748489E-2,1.730897805E-4,4.866247216E-1,1.158630289E-2
9.308333333E0,-2.030985869E-2,7.524049252E-4,3.081956570E0,5.793151447E-2
9.316666667E0,2.622845794E-2,1.138615022E-3,2.850230512E0,4.634521158E-2
9.325000000E0,2.719398318E-2,1.524825118E-3,2.780712695E-1,5.793151447E-2
9.333333333E0,3.086297910E-2,2.104140263E-3,5.445562360E-1,9.269042316E-2
9.341666667E0,3.626992045E-2,3.069665504E-3,4.866247216E-1,1.158630289E-1
9.350000000E0,3.897339112E-2,4.035190745E-3,3.128301781E-1,1.042767260E-1
9.358333333E0,4.148375675E-2,4.807610938E-3,3.475890868E-1,1.274493318E-1
9.366666667E0,4.476654257E-2,6.159346276E-3,3.591753897E-1,1.737945434E-1
9.375000000E0,4.747001325E-2,7.704186662E-3,2.664849666E-1,1.969671492E-1
9.383333333E0,4.920795868E-2,9.442132096E-3,2.085534521E-1,1.853808463E-1
9.391666667E0,5.094590411E-2,1.079386743E-2,2.085534521E-1,1.274493318E-1
9.400000000E0,5.268384955E-2,1.156628763E-2,1.853808463E-1,1.274493318E-1
9.408333333E0,5.403558489E-2,1.291802296E-2,1.274493318E-1,1.042767260E-1
9.416666667E0,5.480800508E-2,1.330423306E-2,8.110412026E-2,5.793151447E-2
9.425000000E0,5.538732022E-2,1.388354821E-2,5.793151447E-2,5.793151447E-2
9.433333333E0,5.577353032E-2,1.426975830E-2,4.634521158E-2,2.317260579E-2
9.441666667E0,5.615974042E-2,1.426975830E-2,0.000000000E0,-1.158630289E-2
9.450000000E0,5.577353032E-2,1.407665325E-2,-5.793151447E-2,-4.634521158E-2
9.458333333E0,5.519421518E-2,1.349733811E-2,-1.042767260E-1,-8.110412026E-2
9.466666667E0,5.403558489E-2,1.272491792E-2,-1.506219376E-1,-1.274493318E-1
9.475000000E0,5.268384955E-2,1.137318258E-2,-1.506219376E-1,-1.158630289E-1
9.483333333E0,5.152521926E-2,1.079386743E-2,-1.737945434E-1,-1.042767260E-1
9.491666667E0,4.978727382E-2,9.635237144E-3,-2.433123608E-1,-1.853808463E-1
9.500000000E0,4.747001325E-2,7.704186662E-3,-3.128301781E-1,-2.085534521E-1
9.508333333E0,4.457343752E-2,6.159346276E-3,-3.591753897E-1,-1.737945434E-1
9.516666667E0,4.148375675E-2,4.807610938E-3,-3.360027839E-1,-1.506219376E-1
