9.891666667E0,5.167982455E-2,8.572477661E-3
9.900000000E0,5.364186381E-2,9.945905143E-3
9.908333333E0,5.580010700E-2,1.151553655E-2
9.916666667E0,5.697733055E-2,1.249655618E-2
9.925000000E0,5.844886000E-2,1.337947385E-2
9.933333333E0,5.903747178E-2,1.406618759E-2
9.941666667E0,5.962608356E-2,1.465479937E-2
9.950000000E0,5.992038944E-2,1.485100329E-2
9.958333333E0,6.001849141E-2,1.494910526E-2
9.966666667E0,5.962608356E-2,1.436049348E-2
9.975000000E0,5.854696196E-2,1.347757581E-2
9.983333333E0,5.756594233E-2,1.249655618E-2
9.991666667E0,5.580010700E-2,1.131933263E-2
1.000000000E1,5.413237363E-2,1.014210907E-2
1.000833333E1,5.167982455E-2,8.670579624E-3
1.001666667E1,4.922727547E-2,7.297152142E-3
1.002500000E1,4.677472640E-2,6.021826622E-3
1.003333333E1,4.402787143E-2,4.452195214E-3
1.004166667E1,4.108481254E-2,3.471175584E-3
1.005000000E1,3.627781636E-2,2.195850064E-3
1.005833333E1,3.284424765E-2,1.411034360E-3
1.006666667E1,2.892016913E-2,7.243206190E-4
1.007500000E1,2.470178472E-2,1.357088408E-4
1.008333333E1,2.146441994E-2,-6.049508525E-5
1.033333333E1,2.529039650E-2,-6.049508525E-5
1.034166667E1,2.725243576E-2,3.319127669E-4
1.035000000E1,3.098031035E-2,1.411034360E-3
1.035833333E1,3.441387906E-2,2.097748101E-3
1.036666667E1,3.725883599E-2,3.176869695E-3
1.037500000E1,4.108481254E-2,4.354093251E-3
1.038333333E1,4.402787143E-2,5.335112881E-3
1.039166667E1,4.589180873E-2,6.021826622E-3
1.040000000E1,4.805005192E-2,7.002846253E-3
1.040833333E1,5.020829510E-2,8.180069809E-3
1.041666667E1,5.226843633E-2,9.357293365E-3
1.042500000E1,5.364186381E-2,1.033831300E-2
1.043333333E1,5.521149522E-2,1.141743459E-2
1.044166667E1,5.589820896E-2,1.190794440E-2
1.045000000E1,5.648682074E-2,1.239845422E-2
1.045833333E1,5.668302466E-2,1.259465815E-2
1.046666667E1,5.687922859E-2,1.269276011E-2
1.047500000E1,5.658492270E-2,1.230035226E-2
1.048333333E1,5.599631092E-2,1.171174048E-2
1.049166667E1,5.452478148E-2,1.073072085E-2
1.050000000E1,5.334755792E-2,1.004400711E-2
1.050833333E1,5.187602848E-2,8.964885513E-3
1.051666667E1,4.981588725E-2,7.689559994E-3
1.052500000E1,4.765764407E-2,6.610438401E-3
1.053333333E1,4.510699303E-2,5.531316807E-3
1.054166667E1,4.245824003E-2,4.452195214E-3
1.055000000E1,3.971138506E-2,3.471175584E-3
1.055833333E1,3.647402028E-2,2.490155953E-3
1.056666667E1,3.304045158E-2,1.705340249E-3
1.057500000E1,2.931257698E-2,1.116728471E-3
1.058333333E1,2.578090631E-2,6.262186559E-4
